OpenIns3D on Replica OVIS

################################################################
what           :             AP         AP_50%         AP_25%
################################################################
basket         :          0.000          0.000          0.000
bed            :          0.000          0.000          1.000
bench          :          0.396          0.396          0.396
bin            :          0.659          0.681          0.681
blanket        :          0.000          0.000          0.000
blinds         :          0.001          0.010          0.160
book           :          0.000          0.000          0.000
bottle         :          0.000          0.000          0.000
box            :          0.000          0.000          0.000
bowl           :          0.000          0.000          0.000
camera         :          0.000          0.000          0.000
cabinet        :          0.000          0.000          0.000
candle         :          0.000          0.000          0.000
chair          :          0.745          0.775          0.775
clock          :          0.000          0.000          0.000
cloth          :          0.000          0.000          0.000
comforter      :          0.000          0.000          0.000
cushion        :          0.045          0.069          0.069
desk           :          0.000          0.000          0.000
desk-organizer :          0.000          0.000          0.000
door           :          0.183          0.189          0.787
indoor-plant   :          0.178          0.200          0.200
lamp           :          0.079          0.083          0.083
monitor        :          1.000          1.000          1.000
nightstand     :          0.722          1.000          1.000
panel          :          0.000          0.000          0.000
picture        :          1.000          1.000          1.000
pillar         :          0.000          0.000          0.000
pillow         :          0.308          0.453          0.453
pipe           :          0.000          0.000          0.000
plant-stand    :          0.000          0.000          0.000
plate          :          0.178          0.200          0.200
pot            :          0.000          0.000          0.000
sculpture      :          0.000          0.000          0.000
shelf          :          0.444          1.000          1.000
sofa           :          0.519          1.000          1.000
stool          :          0.133          0.133          0.133
switch         :          0.000          0.000          0.000
table          :          0.395          0.467          0.467
tablet         :          0.021          0.188          0.188
tissue-paper   :          0.062          0.188          0.188
tv-screen      :          0.000          0.000          0.000
tv-stand       :          0.000          0.000          1.000
vase           :          0.319          0.339          0.339
vent           :          0.000          0.000          0.000
wall-plug      :          0.000          0.000          0.000
window         :          0.000          0.000          0.000
rug            :          0.000          0.000          0.000
----------------------------------------------------------------
average        :          0.154          0.195          0.252
