################################################################
what           :             AP         AP_50%         AP_25%
################################################################
basket         :          0.083          0.125          0.125
bed            :          0.000          0.000          1.000
bench          :          0.500          0.500          0.750
bin            :          0.917          0.931          0.931
blanket        :          0.000          0.000          0.143
blinds         :          0.000          0.004          0.093
book           :          0.000          0.000          0.000
bottle         :          0.000          0.000          0.000
box            :          0.000          0.000          0.000
bowl           :          0.000          0.000          0.000
camera         :          0.000          0.000          0.000
cabinet        :          0.444          0.500          0.500
candle         :          1.000          1.000          1.000
chair          :          0.826          0.867          0.867
clock          :          0.250          0.250          0.250
cloth          :          0.778          1.000          1.000
comforter      :          0.000          0.000          0.000
cushion        :          0.000          0.000          0.000
desk           :          1.000          1.000          1.000
desk-organizer :          0.000          0.000          0.000
door           :          0.379          0.393          0.719
indoor-plant   :          0.178          0.200          0.200
lamp           :          0.106          0.111          0.111
monitor        :          0.000          0.000          0.000
nightstand     :          0.722          1.000          1.000
panel          :          0.000          0.000          0.000
picture        :          1.000          1.000          1.000
pillar         :          0.000          0.000          0.000
pillow         :          0.079          0.121          0.186
pipe           :          0.000          0.000          0.000
plant-stand    :          0.000          0.000          0.000
plate          :          0.000          0.000          0.000
pot            :          0.000          0.000          0.000
sculpture      :          0.000          0.000          0.000
shelf          :          0.000          0.000          0.000
sofa           :          0.402          0.974          0.974
stool          :          0.167          0.167          0.167
switch         :          0.389          0.500          0.500
table          :          0.358          0.420          0.600
tablet         :          0.005          0.042          0.042
tissue-paper   :          0.014          0.042          0.042
tv-screen      :          0.111          1.000          1.000
tv-stand       :          0.000          0.000          0.000
vase           :          0.406          0.429          0.429
vent           :          0.000          0.000          0.000
wall-plug      :          0.000          0.000          0.000
window         :          0.000          0.000          0.042
rug            :          0.000          0.000          0.000
----------------------------------------------------------------
average        :          0.211          0.262          0.306
