OpenIns3D on S3DIS OVIS


################################################################
what           :             AP         AP_50%         AP_25%
################################################################
ceiling        :          0.000          0.000          0.000
floor          :          0.773          0.776          0.776
wall           :          0.215          0.344          0.390
beam           :          0.000          0.000          0.000
column         :          0.000          0.000          0.000
window         :          0.384          0.573          0.573
door           :          0.102          0.116          0.120
table          :          0.178          0.335          0.489
chair          :          0.745          0.832          0.876
sofa           :          0.316          0.455          0.455
bookcase       :          0.023          0.039          0.071
board          :          0.012          0.014          0.015
----------------------------------------------------------------
average        :          0.229          0.290          0.314
