OpenIns3D on  ScanNetv2 OVIS

################################################################
what           :             AP         AP_50%         AP_25%
################################################################
cabinet        :          0.130          0.224          0.308
bed            :          0.304          0.557          0.641
chair          :          0.667          0.824          0.857
sofa           :          0.357          0.583          0.635
table          :          0.247          0.374          0.412
door           :          0.247          0.346          0.408
window         :          0.152          0.273          0.439
bookshelf      :          0.089          0.160          0.320
picture        :          0.031          0.031          0.034
counter        :          0.085          0.193          0.505
desk           :          0.081          0.184          0.276
curtain        :          0.260          0.470          0.555
refrigerator   :          0.334          0.421          0.485
shower curtain :          0.016          0.036          0.036
toilet         :          0.708          0.755          0.755
sink           :          0.233          0.420          0.550
bathtub        :          0.029          0.033          0.033
----------------------------------------------------------------
average        :          0.233          0.346          0.426
